Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Time
2020-02-26 21:06:00,Kolkata,BURGLARY,65,F,21:06:00
2020-02-26 07:17:00,Mumbai,CYBERCRIME,33,F,07:17:00
2020-02-26 18:54:00,Ahmedabad,CYBERCRIME,35,F,18:54:00
2020-02-26 21:53:00,Hyderabad,CYBERCRIME,39,F,21:53:00
2020-02-26 12:21:00,Ludhiana,ILLEGAL POSSESSION,13,F,12:21:00
2020-02-27 05:00:00,Delhi,SEXUAL ASSAULT,75,F,05:00:00
2020-02-27 07:37:00,Ghaziabad,BURGLARY,45,F,07:37:00
2020-02-27 11:26:00,Delhi,PUBLIC INTOXICATION,26,F,11:26:00
2020-02-27 02:18:00,Pune,DOMESTIC VIOLENCE,58,F,02:18:00
2020-02-27 03:47:00,Bangalore,ASSAULT,29,F,03:47:00
2020-02-26 22:45:00,Agra,ASSAULT,41,F,22:45:00
2020-02-27 08:55:00,Bhopal,EXTORTION,49,M,08:55:00
2020-02-27 08:52:00,Kanpur,VANDALISM,68,M,08:52:00
2020-02-27 02:58:00,Jaipur,SHOPLIFTING,29,F,02:58:00
2020-02-27 10:12:00,Mumbai,ASSAULT,21,F,10:12:00
2020-02-27 18:31:00,Bangalore,PUBLIC INTOXICATION,26,F,18:31:00
2020-02-27 06:43:00,Lucknow,DRUG OFFENSE,79,F,06:43:00
2020-02-27 10:14:00,Mumbai,SEXUAL ASSAULT,36,M,10:14:00
2020-02-27 20:48:00,Bangalore,SEXUAL ASSAULT,37,F,20:48:00
2020-02-27 18:21:00,Hyderabad,ILLEGAL POSSESSION,53,F,18:21:00
2020-02-27 21:47:00,Surat,FIREARM OFFENSE,39,F,21:47:00
2020-02-27 19:17:00,Delhi,EXTORTION,55,F,19:17:00
2020-02-27 19:03:00,Kolkata,DOMESTIC VIOLENCE,40,F,19:03:00
2020-02-27 20:42:00,Mumbai,ARSON,63,M,20:42:00
2020-02-27 13:55:00,Pune,ARSON,45,F,13:55:00
2020-02-27 11:22:00,Mumbai,KIDNAPPING,49,M,11:22:00
2020-02-27 09:49:00,Mumbai,FRAUD,43,F,09:49:00
2020-02-28 03:41:00,Bangalore,ARSON,75,F,03:41:00
2020-02-27 20:33:00,Hyderabad,ROBBERY,28,F,20:33:00
2020-02-28 08:40:00,Jaipur,VANDALISM,49,F,08:40:00
2020-02-27 12:58:00,Mumbai,IDENTITY THEFT,63,F,12:58:00
2020-02-27 23:15:00,Mumbai,KIDNAPPING,68,F,23:15:00
2020-02-27 13:38:00,Ahmedabad,BURGLARY,53,F,13:38:00
2020-02-27 18:36:00,Surat,BURGLARY,50,M,18:36:00
2020-02-28 09:24:00,Kolkata,ARSON,33,F,09:24:00
2020-02-28 09:23:00,Lucknow,ARSON,17,M,09:23:00
2020-02-28 08:27:00,Kalyan,KIDNAPPING,72,F,08:27:00
2020-02-28 11:01:00,Kolkata,ARSON,35,M,11:01:00
2020-02-28 16:54:00,Hyderabad,ARSON,11,F,16:54:00
2020-02-28 16:09:00,Surat,EXTORTION,18,F,16:09:00
2020-02-28 02:24:00,Ahmedabad,COUNTERFEITING,71,F,02:24:00
2020-02-28 21:51:00,Kolkata,BURGLARY,30,F,21:51:00
2020-02-28 20:33:00,Mumbai,SEXUAL ASSAULT,18,F,20:33:00
2020-02-28 02:45:00,Nagpur,COUNTERFEITING,65,F,02:45:00
2020-02-28 21:44:00,Ahmedabad,EXTORTION,20,M,21:44:00
2020-02-29 01:54:00,Nagpur,DOMESTIC VIOLENCE,62,M,01:54:00
2020-02-29 02:18:00,Bangalore,EXTORTION,36,F,02:18:00
2020-02-28 21:17:00,Mumbai,FIREARM OFFENSE,55,M,21:17:00
2020-02-29 03:21:00,Ahmedabad,HOMICIDE,61,F,03:21:00
2020-02-28 22:17:00,Bangalore,ASSAULT,46,F,22:17:00
2020-02-28 18:14:00,Ahmedabad,SHOPLIFTING,37,F,18:14:00
2020-02-28 10:23:00,Bangalore,SHOPLIFTING,13,F,10:23:00
2020-02-29 03:24:00,Srinagar,EXTORTION,30,F,03:24:00
2020-02-29 00:20:00,Bhopal,FRAUD,59,F,00:20:00
2020-02-28 12:41:00,Pune,EXTORTION,61,F,12:41:00
2020-02-28 20:23:00,Nagpur,IDENTITY THEFT,77,F,20:23:00
2020-02-29 10:19:00,Mumbai,CYBERCRIME,21,F,10:19:00
2020-02-28 20:51:00,Hyderabad,BURGLARY,55,F,20:51:00
2020-02-29 11:36:00,Pune,FIREARM OFFENSE,61,F,11:36:00
2020-02-29 03:50:00,Delhi,EXTORTION,61,M,03:50:00
2020-02-29 09:42:00,Kolkata,IDENTITY THEFT,49,F,09:42:00
2020-02-28 20:23:00,Patna,SHOPLIFTING,61,F,20:23:00
2020-02-28 19:18:00,Thane,TRAFFIC VIOLATION,19,F,19:18:00
2020-02-29 04:29:00,Visakhapatnam,HOMICIDE,24,F,04:29:00
2020-02-29 07:06:00,Chennai,BURGLARY,37,F,07:06:00
2020-02-29 20:53:00,Bhopal,VEHICLE - STOLEN,27,F,20:53:00
2020-02-29 05:17:00,Bangalore,FIREARM OFFENSE,36,M,05:17:00
2020-02-29 11:41:00,Ahmedabad,EXTORTION,27,M,11:41:00
2020-03-01 00:10:00,Pune,VEHICLE - STOLEN,43,F,00:10:00
2020-02-29 12:05:00,Kanpur,ROBBERY,47,M,12:05:00
2020-02-29 19:17:00,Mumbai,HOMICIDE,76,F,19:17:00
2020-02-29 19:29:00,Hyderabad,DRUG OFFENSE,61,F,19:29:00
2020-02-29 23:41:00,Ahmedabad,EXTORTION,69,M,23:41:00
2020-02-29 18:58:00,Mumbai,IDENTITY THEFT,74,F,18:58:00
2020-03-01 03:47:00,Rajkot,ILLEGAL POSSESSION,55,M,03:47:00
2020-02-29 18:12:00,Hyderabad,IDENTITY THEFT,27,M,18:12:00
2020-03-01 03:35:00,Kanpur,EXTORTION,23,F,03:35:00
2020-03-01 03:28:00,Bangalore,SHOPLIFTING,72,F,03:28:00
2020-03-01 09:59:00,Faridabad,CYBERCRIME,19,F,09:59:00
2020-03-01 08:49:00,Hyderabad,ILLEGAL POSSESSION,55,F,08:49:00
2020-03-01 02:17:00,Delhi,VANDALISM,34,F,02:17:00
2020-03-01 09:49:00,Chennai,ASSAULT,27,F,09:49:00
2020-02-29 20:00:00,Kanpur,COUNTERFEITING,14,F,20:00:00
2020-02-29 16:02:00,Mumbai,SEXUAL ASSAULT,57,F,16:02:00
2020-03-01 15:32:00,Kolkata,SHOPLIFTING,65,M,15:32:00
2020-03-01 15:05:00,Delhi,HOMICIDE,12,F,15:05:00
2020-03-01 12:35:00,Thane,VEHICLE - STOLEN,58,F,12:35:00
2020-03-01 04:27:00,Mumbai,VEHICLE - STOLEN,38,F,04:27:00
2020-03-01 07:09:00,Bangalore,BURGLARY,62,M,07:09:00
2020-03-01 20:32:00,Bangalore,PUBLIC INTOXICATION,36,M,20:32:00
2020-03-01 15:29:00,Bangalore,EXTORTION,50,F,15:29:00
2020-03-01 06:19:00,Patna,ARSON,68,F,06:19:00
2020-03-01 21:48:00,Ahmedabad,VANDALISM,45,F,21:48:00
2020-03-01 05:07:00,Mumbai,KIDNAPPING,15,F,05:07:00
2020-03-02 01:03:00,Patna,TRAFFIC VIOLATION,77,M,01:03:00
2020-03-01 06:20:00,Delhi,ROBBERY,19,F,06:20:00
2020-03-01 19:59:00,Hyderabad,PUBLIC INTOXICATION,75,F,19:59:00
2020-03-01 14:15:00,Ahmedabad,BURGLARY,19,F,14:15:00
2020-03-01 10:16:00,Hyderabad,KIDNAPPING,33,F,10:16:00
2020-03-02 04:36:00,Srinagar,ASSAULT,53,M,04:36:00
2020-03-01 11:55:00,Agra,DOMESTIC VIOLENCE,42,F,11:55:00
2020-03-02 03:40:00,Hyderabad,HOMICIDE,27,F,03:40:00
2020-03-01 15:11:00,Hyderabad,VEHICLE - STOLEN,49,F,15:11:00
2020-03-02 01:40:00,Kolkata,VEHICLE - STOLEN,24,F,01:40:00
2020-03-01 21:09:00,Mumbai,CYBERCRIME,21,F,21:09:00
2020-03-01 18:35:00,Hyderabad,VEHICLE - STOLEN,52,F,18:35:00
2020-03-02 08:46:00,Jaipur,KIDNAPPING,78,F,08:46:00
2020-03-02 08:48:00,Jaipur,ARSON,11,F,08:48:00
2020-03-01 23:07:00,Jaipur,VEHICLE - STOLEN,78,F,23:07:00
2020-03-02 10:10:00,Vasai,FIREARM OFFENSE,40,M,10:10:00
2020-03-02 12:51:00,Pune,KIDNAPPING,21,F,12:51:00
2020-03-02 04:23:00,Jaipur,ASSAULT,45,F,04:23:00
2020-03-02 09:29:00,Hyderabad,COUNTERFEITING,68,M,09:29:00
2020-03-02 15:22:00,Nagpur,PUBLIC INTOXICATION,70,M,15:22:00
2020-03-02 05:10:00,Bhopal,PUBLIC INTOXICATION,72,F,05:10:00
2020-03-02 14:38:00,Bangalore,CYBERCRIME,48,F,14:38:00
2020-03-02 05:46:00,Mumbai,IDENTITY THEFT,30,F,05:46:00
2020-03-02 06:01:00,Surat,TRAFFIC VIOLATION,51,F,06:01:00
2020-03-02 06:13:00,Pune,IDENTITY THEFT,70,F,06:13:00
2020-03-02 17:44:00,Mumbai,EXTORTION,36,F,17:44:00
2020-03-02 11:24:00,Hyderabad,ROBBERY,29,F,11:24:00
2020-03-02 12:56:00,Varanasi,KIDNAPPING,45,F,12:56:00
2020-03-02 22:28:00,Delhi,VANDALISM,22,M,22:28:00
2020-03-02 09:53:00,Kolkata,FRAUD,64,F,09:53:00
2020-03-02 16:13:00,Hyderabad,DOMESTIC VIOLENCE,66,F,16:13:00
2020-03-02 14:30:00,Chennai,ROBBERY,77,F,14:30:00
2020-03-03 03:52:00,Delhi,ASSAULT,16,F,03:52:00
2020-03-02 16:36:00,Jaipur,KIDNAPPING,27,F,16:36:00
2020-03-03 04:58:00,Visakhapatnam,KIDNAPPING,67,M,04:58:00
2020-03-03 10:58:00,Kolkata,IDENTITY THEFT,73,M,10:58:00
2020-03-03 08:08:00,Mumbai,ARSON,19,F,08:08:00
2020-03-03 15:01:00,Mumbai,ASSAULT,35,F,15:01:00
2020-03-03 00:11:00,Surat,BURGLARY,58,F,00:11:00
2020-03-03 08:25:00,Visakhapatnam,HOMICIDE,21,F,08:25:00
2020-03-03 15:51:00,Faridabad,DRUG OFFENSE,21,F,15:51:00
2020-03-03 00:56:00,Delhi,DOMESTIC VIOLENCE,54,F,00:56:00
2020-03-03 00:18:00,Hyderabad,FRAUD,29,F,00:18:00
2020-03-03 04:07:00,Delhi,DOMESTIC VIOLENCE,53,F,04:07:00
2020-03-03 20:57:00,Jaipur,PUBLIC INTOXICATION,73,F,20:57:00
2020-03-03 22:33:00,Bhopal,ILLEGAL POSSESSION,72,F,22:33:00
2020-03-03 01:35:00,Delhi,CYBERCRIME,11,F,01:35:00
2020-03-04 01:12:00,Bangalore,ASSAULT,39,F,01:12:00
2020-03-03 20:51:00,Bangalore,PUBLIC INTOXICATION,76,F,20:51:00
2020-03-03 17:14:00,Hyderabad,DOMESTIC VIOLENCE,63,F,17:14:00
2020-03-03 16:17:00,Thane,ARSON,55,F,16:17:00
2020-03-04 02:53:00,Agra,FIREARM OFFENSE,16,M,02:53:00
2020-03-04 05:03:00,Chennai,ILLEGAL POSSESSION,77,F,05:03:00
2020-03-03 23:08:00,Hyderabad,SEXUAL ASSAULT,11,F,23:08:00
2020-03-04 04:23:00,Delhi,FIREARM OFFENSE,33,M,04:23:00
2020-03-04 01:16:00,Hyderabad,ILLEGAL POSSESSION,32,F,01:16:00
2020-03-04 08:32:00,Bangalore,DOMESTIC VIOLENCE,24,F,08:32:00
2020-03-04 07:24:00,Chennai,ASSAULT,33,M,07:24:00
2020-03-03 20:51:00,Thane,SEXUAL ASSAULT,76,F,20:51:00
2020-03-04 07:14:00,Ludhiana,SHOPLIFTING,79,M,07:14:00
2020-03-03 16:07:00,Surat,VANDALISM,14,F,16:07:00
2020-03-04 00:41:00,Ahmedabad,ILLEGAL POSSESSION,36,F,00:41:00
2020-03-04 14:24:00,Mumbai,SEXUAL ASSAULT,21,M,14:24:00
2020-03-04 09:43:00,Delhi,VEHICLE - STOLEN,56,F,09:43:00
2020-03-03 23:07:00,Surat,DOMESTIC VIOLENCE,52,F,23:07:00
2020-03-04 15:28:00,Mumbai,DRUG OFFENSE,46,F,15:28:00
2020-03-04 11:47:00,Ghaziabad,CYBERCRIME,79,M,11:47:00
2020-03-04 09:42:00,Surat,FIREARM OFFENSE,22,F,09:42:00
2020-03-04 01:01:00,Nagpur,COUNTERFEITING,39,F,01:01:00
2020-03-04 04:11:00,Indore,BURGLARY,10,F,04:11:00
2020-03-04 10:22:00,Chennai,TRAFFIC VIOLATION,50,F,10:22:00
2020-03-04 03:04:00,Patna,TRAFFIC VIOLATION,72,F,03:04:00
2020-03-05 02:30:00,Jaipur,DOMESTIC VIOLENCE,10,F,02:30:00
2020-03-05 02:37:00,Pune,COUNTERFEITING,19,M,02:37:00
2020-03-04 10:18:00,Kolkata,VANDALISM,79,F,10:18:00
2020-03-05 05:07:00,Nagpur,ROBBERY,77,F,05:07:00
2020-03-04 08:40:00,Pune,COUNTERFEITING,24,M,08:40:00
2020-03-04 15:45:00,Delhi,ARSON,23,M,15:45:00
2020-03-04 20:03:00,Hyderabad,IDENTITY THEFT,37,F,20:03:00
2020-03-04 13:07:00,Delhi,BURGLARY,42,F,13:07:00
2020-03-05 00:55:00,Vasai,ROBBERY,51,F,00:55:00
2020-03-05 02:31:00,Delhi,COUNTERFEITING,69,M,02:31:00
2020-03-04 19:01:00,Ludhiana,SEXUAL ASSAULT,60,F,19:01:00
2020-03-05 05:08:00,Pune,FRAUD,40,M,05:08:00
2020-03-05 04:55:00,Delhi,DOMESTIC VIOLENCE,59,F,04:55:00
2020-03-05 15:32:00,Mumbai,ROBBERY,14,M,15:32:00
2020-03-04 20:55:00,Delhi,VANDALISM,61,M,20:55:00
2020-03-04 20:31:00,Delhi,VEHICLE - STOLEN,39,F,20:31:00
2020-03-05 12:54:00,Mumbai,BURGLARY,60,F,12:54:00
2020-03-05 10:49:00,Hyderabad,PUBLIC INTOXICATION,53,M,10:49:00
2020-03-05 11:25:00,Mumbai,PUBLIC INTOXICATION,62,F,11:25:00
2020-03-05 17:55:00,Chennai,TRAFFIC VIOLATION,55,F,17:55:00
2020-03-05 08:45:00,Kolkata,ROBBERY,51,F,08:45:00
2020-03-05 00:30:00,Kanpur,COUNTERFEITING,70,F,00:30:00
2020-03-05 04:01:00,Kolkata,KIDNAPPING,18,M,04:01:00
2020-03-05 19:05:00,Indore,IDENTITY THEFT,16,F,19:05:00
2020-03-05 18:26:00,Hyderabad,SHOPLIFTING,42,F,18:26:00
2020-03-05 22:48:00,Pune,ROBBERY,72,F,22:48:00
2020-03-05 10:03:00,Delhi,COUNTERFEITING,35,M,10:03:00
2020-03-05 17:49:00,Delhi,KIDNAPPING,21,M,17:49:00
2020-03-05 12:54:00,Kolkata,PUBLIC INTOXICATION,25,F,12:54:00
2020-03-05 08:57:00,Bangalore,DOMESTIC VIOLENCE,79,F,08:57:00
2020-03-05 10:00:00,Ghaziabad,VEHICLE - STOLEN,55,M,10:00:00
2020-03-05 17:14:00,Visakhapatnam,DRUG OFFENSE,64,F,17:14:00
2020-03-05 16:36:00,Hyderabad,VEHICLE - STOLEN,63,M,16:36:00
2020-03-05 20:55:00,Agra,TRAFFIC VIOLATION,26,F,20:55:00
2020-03-06 05:05:00,Hyderabad,FIREARM OFFENSE,15,F,05:05:00
2020-03-06 01:10:00,Lucknow,IDENTITY THEFT,17,M,01:10:00
2020-03-05 17:54:00,Delhi,DRUG OFFENSE,48,F,17:54:00
2020-03-06 07:26:00,Bangalore,ARSON,60,F,07:26:00
2020-03-06 07:13:00,Delhi,ROBBERY,71,F,07:13:00
2020-03-05 20:33:00,Hyderabad,DRUG OFFENSE,15,M,20:33:00
2020-03-05 22:31:00,Bangalore,ASSAULT,30,M,22:31:00
2020-03-06 10:15:00,Delhi,ASSAULT,64,M,10:15:00
2020-03-06 19:35:00,Nagpur,ARSON,57,F,19:35:00
2020-03-06 21:56:00,Chennai,COUNTERFEITING,19,F,21:56:00
2020-03-06 16:04:00,Chennai,DRUG OFFENSE,29,F,16:04:00
2020-03-06 15:09:00,Srinagar,TRAFFIC VIOLATION,64,F,15:09:00
2020-03-06 08:25:00,Bhopal,KIDNAPPING,21,F,08:25:00
2020-03-06 06:35:00,Delhi,IDENTITY THEFT,75,M,06:35:00
2020-03-06 05:46:00,Ahmedabad,SEXUAL ASSAULT,63,F,05:46:00
2020-03-07 00:04:00,Ahmedabad,HOMICIDE,26,M,00:04:00
2020-03-06 18:47:00,Surat,BURGLARY,19,F,18:47:00
2020-03-06 19:29:00,Kolkata,ARSON,25,F,19:29:00
2020-03-06 23:18:00,Bangalore,SEXUAL ASSAULT,54,M,23:18:00
2020-03-07 02:21:00,Visakhapatnam,VANDALISM,77,F,02:21:00
2020-03-06 20:31:00,Surat,KIDNAPPING,71,M,20:31:00
2020-03-06 11:25:00,Chennai,VEHICLE - STOLEN,51,F,11:25:00
2020-03-06 23:23:00,Chennai,COUNTERFEITING,33,F,23:23:00
2020-03-06 15:01:00,Ahmedabad,HOMICIDE,22,M,15:01:00
2020-03-07 11:34:00,Hyderabad,HOMICIDE,19,F,11:34:00
2020-03-07 05:27:00,Bangalore,KIDNAPPING,47,F,05:27:00
2020-03-07 02:19:00,Hyderabad,ILLEGAL POSSESSION,45,F,02:19:00
2020-03-06 22:13:00,Kalyan,KIDNAPPING,25,F,22:13:00
2020-03-07 03:27:00,Kolkata,TRAFFIC VIOLATION,49,F,03:27:00
2020-03-07 06:22:00,Pune,ASSAULT,20,F,06:22:00
2020-03-07 09:00:00,Lucknow,TRAFFIC VIOLATION,21,F,09:00:00
2020-03-07 01:13:00,Hyderabad,FIREARM OFFENSE,40,M,01:13:00
2020-03-07 06:01:00,Bangalore,HOMICIDE,20,F,06:01:00
2020-03-07 19:31:00,Jaipur,FRAUD,67,F,19:31:00
2020-03-07 02:20:00,Mumbai,DOMESTIC VIOLENCE,45,F,02:20:00
2020-03-07 11:00:00,Delhi,EXTORTION,16,M,11:00:00
2020-03-07 19:34:00,Visakhapatnam,ILLEGAL POSSESSION,66,F,19:34:00
2020-03-07 12:31:00,Mumbai,VEHICLE - STOLEN,28,F,12:31:00
2020-03-08 00:06:00,Delhi,CYBERCRIME,66,F,00:06:00
2020-03-07 16:27:00,Hyderabad,HOMICIDE,39,F,16:27:00
2020-03-08 04:02:00,Jaipur,HOMICIDE,32,M,04:02:00
2020-03-07 13:59:00,Delhi,PUBLIC INTOXICATION,25,F,13:59:00
2020-03-08 03:43:00,Bangalore,FRAUD,14,F,03:43:00
2020-03-07 13:49:00,Visakhapatnam,HOMICIDE,59,F,13:49:00
2020-03-08 05:33:00,Bangalore,PUBLIC INTOXICATION,48,M,05:33:00
2020-03-08 06:55:00,Chennai,VEHICLE - STOLEN,51,F,06:55:00
2020-03-07 23:40:00,Mumbai,BURGLARY,19,M,23:40:00
2020-03-08 10:20:00,Hyderabad,ROBBERY,70,F,10:20:00
2020-03-08 09:47:00,Surat,ROBBERY,38,F,09:47:00
2020-03-08 13:53:00,Delhi,SHOPLIFTING,53,M,13:53:00
2020-03-07 19:00:00,Lucknow,TRAFFIC VIOLATION,38,F,19:00:00
2020-03-08 09:36:00,Kolkata,ARSON,24,F,09:36:00
2020-03-08 09:59:00,Delhi,PUBLIC INTOXICATION,20,M,09:59:00
2020-03-07 18:25:00,Mumbai,IDENTITY THEFT,49,F,18:25:00
2020-03-07 19:57:00,Delhi,BURGLARY,74,F,19:57:00
2020-03-08 01:30:00,Bangalore,TRAFFIC VIOLATION,40,F,01:30:00
2020-03-08 17:25:00,Visakhapatnam,KIDNAPPING,14,M,17:25:00
2020-03-08 19:53:00,Mumbai,PUBLIC INTOXICATION,22,F,19:53:00
2020-03-08 08:54:00,Agra,FRAUD,30,M,08:54:00
2020-03-08 02:48:00,Kolkata,ARSON,71,M,02:48:00
2020-03-08 04:14:00,Bangalore,HOMICIDE,51,F,04:14:00
2020-03-08 19:40:00,Delhi,FRAUD,67,F,19:40:00
2020-03-08 16:42:00,Delhi,HOMICIDE,30,F,16:42:00
2020-03-08 19:12:00,Bangalore,VEHICLE - STOLEN,49,F,19:12:00
2020-03-09 02:13:00,Varanasi,COUNTERFEITING,49,F,02:13:00
2020-03-08 21:40:00,Chennai,FRAUD,61,M,21:40:00
2020-03-08 10:51:00,Visakhapatnam,EXTORTION,21,F,10:51:00
2020-03-08 23:30:00,Visakhapatnam,DRUG OFFENSE,11,F,23:30:00
2020-03-08 11:05:00,Delhi,ASSAULT,45,F,11:05:00
2020-03-09 06:57:00,Chennai,DOMESTIC VIOLENCE,37,M,06:57:00
2020-03-08 18:50:00,Chennai,DOMESTIC VIOLENCE,25,F,18:50:00
2020-03-08 15:10:00,Varanasi,FIREARM OFFENSE,39,F,15:10:00
2020-03-08 17:36:00,Jaipur,PUBLIC INTOXICATION,54,F,17:36:00
2020-03-08 17:02:00,Nashik,IDENTITY THEFT,50,F,17:02:00
2020-03-09 08:21:00,Jaipur,VANDALISM,22,M,08:21:00
2020-03-09 06:29:00,Mumbai,TRAFFIC VIOLATION,30,M,06:29:00
2020-03-09 06:17:00,Hyderabad,ILLEGAL POSSESSION,13,M,06:17:00
2020-03-09 04:16:00,Hyderabad,DOMESTIC VIOLENCE,24,F,04:16:00
2020-03-09 07:38:00,Mumbai,ILLEGAL POSSESSION,15,M,07:38:00
2020-03-09 07:53:00,Bangalore,KIDNAPPING,16,M,07:53:00
2020-03-09 01:09:00,Hyderabad,ILLEGAL POSSESSION,39,M,01:09:00
2020-03-09 06:32:00,Meerut,ARSON,23,M,06:32:00
2020-03-09 07:41:00,Hyderabad,VEHICLE - STOLEN,63,F,07:41:00
2020-03-09 14:39:00,Agra,DOMESTIC VIOLENCE,61,F,14:39:00
2020-03-10 00:06:00,Mumbai,ARSON,20,M,00:06:00
2020-03-09 21:49:00,Hyderabad,ILLEGAL POSSESSION,20,M,21:49:00
2020-03-09 23:00:00,Nagpur,HOMICIDE,12,F,23:00:00
2020-03-09 22:57:00,Kolkata,SHOPLIFTING,25,F,22:57:00
2020-03-09 20:13:00,Delhi,IDENTITY THEFT,76,F,20:13:00
2020-03-09 22:18:00,Faridabad,VEHICLE - STOLEN,78,M,22:18:00
2020-03-09 18:20:00,Ahmedabad,ASSAULT,31,F,18:20:00
2020-03-09 22:03:00,Patna,CYBERCRIME,53,M,22:03:00
2020-03-10 05:50:00,Indore,DRUG OFFENSE,34,F,05:50:00
2020-03-10 04:58:00,Pune,BURGLARY,73,F,04:58:00
2020-03-09 14:59:00,Bangalore,KIDNAPPING,22,F,14:59:00
2020-03-10 03:35:00,Chennai,VANDALISM,32,F,03:35:00
2020-03-10 06:01:00,Bangalore,BURGLARY,12,F,06:01:00
2020-03-10 03:13:00,Bangalore,BURGLARY,38,F,03:13:00
2020-03-09 20:48:00,Mumbai,IDENTITY THEFT,48,M,20:48:00
2020-03-10 01:08:00,Mumbai,PUBLIC INTOXICATION,59,M,01:08:00
2020-03-10 13:20:00,Bangalore,DOMESTIC VIOLENCE,64,F,13:20:00
2020-03-10 00:59:00,Kolkata,FRAUD,58,M,00:59:00
2020-03-10 06:21:00,Jaipur,ILLEGAL POSSESSION,57,F,06:21:00
2020-03-10 14:20:00,Delhi,DOMESTIC VIOLENCE,25,M,14:20:00
2020-03-10 17:33:00,Hyderabad,CYBERCRIME,68,F,17:33:00
2020-03-09 23:32:00,Chennai,ASSAULT,73,F,23:32:00
2020-03-10 10:19:00,Hyderabad,ARSON,47,M,10:19:00
2020-03-10 07:26:00,Faridabad,DRUG OFFENSE,63,F,07:26:00
2020-03-10 03:53:00,Mumbai,FIREARM OFFENSE,50,F,03:53:00
2020-03-10 18:59:00,Surat,VANDALISM,10,F,18:59:00
2020-03-11 02:28:00,Mumbai,TRAFFIC VIOLATION,38,F,02:28:00
2020-03-10 08:26:00,Bangalore,IDENTITY THEFT,39,F,08:26:00
2020-03-11 04:38:00,Delhi,SHOPLIFTING,25,M,04:38:00
2020-03-11 02:53:00,Agra,KIDNAPPING,51,F,02:53:00
2020-03-11 04:37:00,Mumbai,KIDNAPPING,26,F,04:37:00
2020-03-11 06:26:00,Delhi,FRAUD,11,F,06:26:00
2020-03-11 05:49:00,Nagpur,FIREARM OFFENSE,16,F,05:49:00
2020-03-10 15:12:00,Bangalore,BURGLARY,28,F,15:12:00
2020-03-10 13:20:00,Delhi,ARSON,64,F,13:20:00
2020-03-10 13:33:00,Nagpur,CYBERCRIME,29,F,13:33:00
2020-03-11 12:10:00,Kanpur,ROBBERY,15,M,12:10:00
2020-03-11 06:18:00,Mumbai,ARSON,57,F,06:18:00
2020-03-11 10:59:00,Chennai,BURGLARY,54,F,10:59:00
2020-03-11 14:57:00,Pune,VANDALISM,37,F,14:57:00
2020-03-11 12:59:00,Kanpur,ROBBERY,67,F,12:59:00
2020-03-11 14:53:00,Meerut,ROBBERY,73,F,14:53:00
2020-03-10 21:41:00,Kolkata,FRAUD,11,M,21:41:00
2020-03-11 01:28:00,Delhi,CYBERCRIME,41,F,01:28:00
2020-03-11 12:13:00,Thane,COUNTERFEITING,19,F,12:13:00
2020-03-11 05:00:00,Bangalore,FIREARM OFFENSE,61,M,05:00:00
2020-03-11 17:51:00,Nashik,ASSAULT,67,F,17:51:00
2020-03-11 18:22:00,Jaipur,ARSON,35,F,18:22:00
2020-03-11 17:55:00,Nashik,SHOPLIFTING,18,F,17:55:00
2020-03-11 19:39:00,Delhi,ARSON,12,M,19:39:00
2020-03-12 01:34:00,Ahmedabad,DRUG OFFENSE,20,F,01:34:00
2020-03-11 04:30:00,Agra,FIREARM OFFENSE,57,M,04:30:00
2020-03-11 12:20:00,Delhi,COUNTERFEITING,58,M,12:20:00
2020-03-12 00:16:00,Delhi,SHOPLIFTING,51,M,00:16:00
2020-03-11 19:17:00,Nashik,VANDALISM,45,F,19:17:00
2020-03-11 12:29:00,Vasai,VANDALISM,47,F,12:29:00
2020-03-11 11:17:00,Kolkata,VEHICLE - STOLEN,46,F,11:17:00
2020-03-11 23:54:00,Delhi,VANDALISM,33,F,23:54:00
2020-03-11 18:39:00,Pune,BURGLARY,34,F,18:39:00
2020-03-11 18:22:00,Delhi,IDENTITY THEFT,28,M,18:22:00
2020-03-12 01:37:00,Nashik,ROBBERY,18,M,01:37:00
2020-03-12 00:18:00,Kolkata,VANDALISM,48,M,00:18:00
2020-03-12 06:29:00,Pune,BURGLARY,55,M,06:29:00
2020-03-12 13:01:00,Meerut,HOMICIDE,76,F,13:01:00
2020-03-12 11:27:00,Jaipur,SEXUAL ASSAULT,53,F,11:27:00
2020-03-12 09:23:00,Bangalore,ASSAULT,15,M,09:23:00
2020-03-11 21:59:00,Lucknow,IDENTITY THEFT,46,M,21:59:00
2020-03-12 06:52:00,Kanpur,CYBERCRIME,16,M,06:52:00
2020-03-12 18:10:00,Hyderabad,BURGLARY,50,F,18:10:00
2020-03-12 12:08:00,Bangalore,FRAUD,31,M,12:08:00
2020-03-12 10:54:00,Surat,COUNTERFEITING,14,M,10:54:00
2020-03-12 05:50:00,Bangalore,PUBLIC INTOXICATION,76,F,05:50:00
2020-03-12 23:42:00,Visakhapatnam,ILLEGAL POSSESSION,70,F,23:42:00
2020-03-12 23:43:00,Varanasi,ILLEGAL POSSESSION,63,F,23:43:00
2020-03-12 18:21:00,Pune,HOMICIDE,77,M,18:21:00
2020-03-12 05:57:00,Bangalore,HOMICIDE,50,F,05:57:00
2020-03-12 14:41:00,Jaipur,PUBLIC INTOXICATION,33,M,14:41:00
